scraped_at,team,rank,elo_rating
2026-06-15T22:00:13+00:00,Paraguay,27,1780
2026-06-15T22:00:13+00:00,USA,28,1780
2026-06-15T22:00:13+00:00,Algeria,30,1772
2026-06-15T22:00:13+00:00,Iran,31,1772
2026-06-15T22:00:13+00:00,Canada,32,1767
2026-06-15T22:00:13+00:00,Sweden,35,1755
2026-06-15T22:00:13+00:00,Ivory Coast,38,1743
2026-06-15T22:00:13+00:00,Panama,40,1730
2026-06-15T22:00:13+00:00,Uzbekistan,43,1714
2026-06-15T22:00:13+00:00,Czechia,44,1712
2026-06-15T22:00:13+00:00,Egypt,45,1711
2026-06-15T22:00:13+00:00,Jordan,52,1680
2026-06-15T22:00:13+00:00,DR Congo,55,1652
2026-06-15T22:00:13+00:00,Bosnia and Herzegovina,60,1616
2026-06-15T22:00:13+00:00,Iraq,63,1607
2026-06-15T22:00:13+00:00,Cape Verde Islands,64,1606
2026-06-15T22:00:13+00:00,Saudi Arabia,66,1598
2026-06-15T22:00:13+00:00,Tunisia,68,1585
2026-06-15T22:00:13+00:00,New Zealand,72,1562
2026-06-15T22:00:13+00:00,Haiti,75,1536
2026-06-15T22:00:13+00:00,South Africa,80,1511
2026-06-15T22:00:13+00:00,Ghana,81,1510
2026-06-15T22:00:13+00:00,Qatar,90,1447
2026-06-15T22:00:13+00:00,Curaçao,94,1427
2026-06-16T01:00:14+00:00,Spain,1,2129
2026-06-16T01:00:14+00:00,Argentina,2,2115
2026-06-16T01:00:14+00:00,France,3,2063
2026-06-16T01:00:14+00:00,England,4,2024
2026-06-16T01:00:14+00:00,Portugal,5,1989
2026-06-16T01:00:14+00:00,Colombia,6,1982
2026-06-16T01:00:14+00:00,Brazil,7,1978
2026-06-16T01:00:14+00:00,Netherlands,8,1944
2026-06-16T01:00:14+00:00,Germany,9,1939
2026-06-16T01:00:14+00:00,Norway,10,1914
2026-06-16T01:00:14+00:00,Croatia,11,1912
2026-06-16T01:00:14+00:00,Japan,12,1910
2026-06-16T01:00:14+00:00,Ecuador,13,1890
2026-06-16T01:00:14+00:00,Mexico,14,1881
2026-06-16T01:00:14+00:00,Belgium,15,1879
2026-06-16T01:00:14+00:00,Uruguay,17,1870
2026-06-16T01:00:14+00:00,Switzerland,19,1865
2026-06-16T01:00:14+00:00,Senegal,20,1860
2026-06-16T01:00:14+00:00,Turkey,21,1849
2026-06-16T01:00:14+00:00,Morocco,22,1840
2026-06-16T01:00:14+00:00,Australia,23,1839
2026-06-16T01:00:14+00:00,Austria,24,1830
2026-06-16T01:00:14+00:00,Scotland,25,1794
2026-06-16T01:00:14+00:00,South Korea,26,1786
2026-06-16T01:00:14+00:00,Paraguay,27,1780
2026-06-16T01:00:14+00:00,USA,28,1780
2026-06-16T01:00:14+00:00,Algeria,30,1772
2026-06-16T01:00:14+00:00,Canada,31,1767
2026-06-16T01:00:14+00:00,Iran,34,1756
2026-06-16T01:00:14+00:00,Sweden,35,1755
2026-06-16T01:00:14+00:00,Ivory Coast,38,1743
2026-06-16T01:00:14+00:00,Panama,40,1730
2026-06-16T01:00:14+00:00,Uzbekistan,43,1714
2026-06-16T01:00:14+00:00,Czechia,44,1712
2026-06-16T01:00:14+00:00,Egypt,45,1711
2026-06-16T01:00:14+00:00,Jordan,52,1680
2026-06-16T01:00:14+00:00,DR Congo,55,1652
2026-06-16T01:00:14+00:00,Bosnia and Herzegovina,60,1616
2026-06-16T01:00:14+00:00,Iraq,63,1607
2026-06-16T01:00:14+00:00,Cape Verde Islands,64,1606
2026-06-16T01:00:14+00:00,Saudi Arabia,66,1598
2026-06-16T01:00:14+00:00,Tunisia,68,1585
2026-06-16T01:00:14+00:00,New Zealand,70,1578
2026-06-16T01:00:14+00:00,Haiti,75,1536
2026-06-16T01:00:14+00:00,South Africa,80,1511
2026-06-16T01:00:14+00:00,Ghana,81,1510
2026-06-16T01:00:14+00:00,Qatar,90,1447
2026-06-16T01:00:14+00:00,Curaçao,94,1427
2026-06-16T19:00:15+00:00,Spain,1,2129
2026-06-16T19:00:15+00:00,Argentina,2,2115
2026-06-16T19:00:15+00:00,France,3,2084
2026-06-16T19:00:15+00:00,England,4,2024
2026-06-16T19:00:15+00:00,Portugal,5,1989
2026-06-16T19:00:15+00:00,Colombia,6,1982
2026-06-16T19:00:15+00:00,Brazil,7,1978
2026-06-16T19:00:15+00:00,Netherlands,8,1944
2026-06-16T19:00:15+00:00,Germany,9,1939
2026-06-16T19:00:15+00:00,Norway,10,1914
2026-06-16T19:00:15+00:00,Croatia,11,1912
2026-06-16T19:00:15+00:00,Japan,12,1910
2026-06-16T19:00:15+00:00,Ecuador,13,1890
2026-06-16T19:00:15+00:00,Mexico,14,1881
2026-06-16T19:00:15+00:00,Belgium,15,1879
2026-06-16T19:00:15+00:00,Uruguay,17,1870
2026-06-16T19:00:15+00:00,Switzerland,19,1865
2026-06-16T19:00:15+00:00,Turkey,20,1849
2026-06-16T19:00:15+00:00,Morocco,21,1840
2026-06-16T19:00:15+00:00,Senegal,22,1839
2026-06-16T19:00:15+00:00,Australia,23,1839
2026-06-16T19:00:15+00:00,Austria,24,1830
2026-06-16T19:00:15+00:00,Scotland,25,1794
2026-06-16T19:00:15+00:00,South Korea,26,1786
2026-06-16T19:00:15+00:00,Paraguay,27,1780
2026-06-16T19:00:15+00:00,USA,28,1780
2026-06-16T19:00:15+00:00,Algeria,30,1772
2026-06-16T19:00:15+00:00,Canada,31,1767
2026-06-16T19:00:15+00:00,Iran,34,1756
2026-06-16T19:00:15+00:00,Sweden,35,1755
2026-06-16T19:00:15+00:00,Ivory Coast,38,1743
2026-06-16T19:00:15+00:00,Panama,40,1730
2026-06-16T19:00:15+00:00,Uzbekistan,43,1714
2026-06-16T19:00:15+00:00,Czechia,44,1712
2026-06-16T19:00:15+00:00,Egypt,45,1711
2026-06-16T19:00:15+00:00,Jordan,52,1680
2026-06-16T19:00:15+00:00,DR Congo,55,1652
2026-06-16T19:00:15+00:00,Bosnia and Herzegovina,60,1616
2026-06-16T19:00:15+00:00,Iraq,63,1607
2026-06-16T19:00:15+00:00,Cape Verde Islands,64,1606
2026-06-16T19:00:15+00:00,Saudi Arabia,66,1598
2026-06-16T19:00:15+00:00,Tunisia,68,1585
2026-06-16T19:00:15+00:00,New Zealand,70,1578
2026-06-16T19:00:15+00:00,Haiti,75,1536
2026-06-16T19:00:15+00:00,South Africa,80,1511
2026-06-16T19:00:15+00:00,Ghana,81,1510
2026-06-16T19:00:15+00:00,Qatar,90,1447
2026-06-16T19:00:15+00:00,Curaçao,94,1427
2026-06-16T22:00:16+00:00,Spain,1,2129
2026-06-16T22:00:16+00:00,Argentina,2,2115
2026-06-16T22:00:16+00:00,France,3,2084
2026-06-16T22:00:16+00:00,England,4,2024
2026-06-16T22:00:16+00:00,Portugal,5,1989
2026-06-16T22:00:16+00:00,Colombia,6,1982
2026-06-16T22:00:16+00:00,Brazil,7,1978
2026-06-16T22:00:16+00:00,Netherlands,8,1944
2026-06-16T22:00:16+00:00,Germany,9,1939
2026-06-16T22:00:16+00:00,Norway,10,1929
2026-06-16T22:00:16+00:00,Croatia,11,1912
2026-06-16T22:00:16+00:00,Japan,12,1910
2026-06-16T22:00:16+00:00,Ecuador,13,1890
2026-06-16T22:00:16+00:00,Mexico,14,1881
2026-06-16T22:00:16+00:00,Belgium,15,1879
2026-06-16T22:00:16+00:00,Uruguay,17,1870
2026-06-16T22:00:16+00:00,Switzerland,19,1865
2026-06-16T22:00:16+00:00,Turkey,20,1849
2026-06-16T22:00:16+00:00,Morocco,21,1840
2026-06-16T22:00:16+00:00,Senegal,22,1839
2026-06-16T22:00:16+00:00,Australia,23,1839
2026-06-16T22:00:16+00:00,Austria,24,1830
2026-06-16T22:00:16+00:00,Scotland,25,1794
2026-06-16T22:00:16+00:00,South Korea,26,1786
2026-06-16T22:00:16+00:00,Paraguay,27,1780
2026-06-16T22:00:16+00:00,USA,28,1780
2026-06-16T22:00:16+00:00,Algeria,30,1772
2026-06-16T22:00:16+00:00,Canada,31,1767
2026-06-16T22:00:16+00:00,Iran,34,1756
2026-06-16T22:00:16+00:00,Sweden,35,1755
2026-06-16T22:00:16+00:00,Ivory Coast,38,1743
2026-06-16T22:00:16+00:00,Panama,40,1730
2026-06-16T22:00:16+00:00,Uzbekistan,43,1714
2026-06-16T22:00:16+00:00,Czechia,44,1712
2026-06-16T22:00:16+00:00,Egypt,45,1711
2026-06-16T22:00:16+00:00,Jordan,52,1680
2026-06-16T22:00:16+00:00,DR Congo,55,1652
2026-06-16T22:00:16+00:00,Bosnia and Herzegovina,60,1616
2026-06-16T22:00:16+00:00,Cape Verde Islands,63,1606
2026-06-16T22:00:16+00:00,Saudi Arabia,65,1598
2026-06-16T22:00:16+00:00,Iraq,66,1592
2026-06-16T22:00:16+00:00,Tunisia,68,1585
2026-06-16T22:00:16+00:00,New Zealand,70,1578
2026-06-16T22:00:16+00:00,Haiti,75,1536
2026-06-16T22:00:16+00:00,South Africa,80,1511
2026-06-16T22:00:16+00:00,Ghana,81,1510
2026-06-16T22:00:16+00:00,Qatar,90,1447
2026-06-16T22:00:16+00:00,Curaçao,94,1427
